USER_ID,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920,pageview_news_dur,pageview_movies_dur
467,"","","",1,"","","","",1334,""
691,"","","",1,"","","","",1352,""
919,"","","",1,"","","","",1014,""
591,"","","",1,"","","","",1278,""
475,"","","",1,"","","","",1348,""
574,"","","",1,"","","","",1355,""
613,"","","",1,"","","","",1263,""
544,"","","",1,"","","","",1163,""
577,"","","",1,"","","","",1263,""
581,"","","",1,"","","","",1262,""
272,"","","",10,"","","","",989,""
442,"","","",1,"","","","",1174,""
470,"","","",1,"","","","",1014,""
647,"","","",1,"","","","",1354,""
282,"","","",1,"","","","",932,""
700,"","","",1,"","","","",1362,""
155,"","","",1,"","","","",1262,""
886,"","","",1,"","","","",1325,""
132,"","","",1,"","","","",1308,""
154,"","","",1,"","","","",1365,""
428,1,1,1,1,"","","","","",""
495,"","","",1,"","","","",1305,""
625,"","","",1,"","","","",1353,""
415,"","","",1,"","","","",1262,""
422,"","","",1,"","","","",1336,""
433,"","","",1,"","","","",1263,""
543,"","","",1,"","","","",1262,""
595,"","","","","","","",1,"",1305
961,"","","",1,"","","","",1263,""
29,"","","",1,"","","","",1014,""
419,"","","",1,"","","","",1262,""
703,1,1,1,1,"","","","","",""
112,"","","",1,"","","","",1335,""
42,"","","",1,"","","","",1337,""
424,"","","",1,"","","","",1188,""
534,"","","",1,"","","","",1263,""
586,"","","",1,"","","","",1263,""
434,"","","",1,"","","","",1313,""
468,"","",1,1,"","","","",275,""
626,"","","",1,"","","","",1203,""
87,"","",1,1,"","","","",320,""
890,"","","",1,"","","","",1415,""
974,"","","",10,"","","","",998,""
710,1,1,18,161,"","","",7,168,1178
3,"","","",6,"","","","",1227,""
446,"","",3,21,"","","","",609,""
478,"","","",1,"","","","",1349,""
541,"","","",1,"","","","",1262,""
970,"","","",1,"","","","",1262,""
113,"","",1,1,"","","","",684,""
30,"","","",1,"","","","",1014,""
432,"","",1,1,"","","","",307,""
584,"","","",1,"","","","",1228,""
34,"","","",1,"","","","",1337,""
443,"","","",1,"","","","",1147,""
652,"","","",1,"","","","",1263,""
880,"","","",1,"","","","",1345,""
924,"","","",29,"","","","",803,""
133,"","","",1,"","","","",1308,""
878,"","","",1,"","","","",1284,""
287,"","","",1,"","","","",1292,""
365,"","","",1,"","","","",1263,""
425,"","","",1,"","","","",1325,""
895,"","","",1,"","","","",1345,""
966,"","","",1,"","","","",1158,""
146,"","","",1,"","","","",1347,""
379,"","","",1,"","","","",845,""
160,"","","",3,"","","","",1002,""
695,"","","",1,"","","","",1252,""
894,"","","",1,"","","","",1263,""
258,"","","",6,"","","",2,1022,1355
479,"","",2,15,"","","","",609,""
