USER_ID,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920,pageview_news_dur,pageview_movies_dur
467,"","","",1,"","","","",2004,""
691,"","","",1,"","","","",2022,""
919,"","","",1,"","","","",1684,""
591,"","","",1,"","","","",1948,""
475,"","","",1,"","","","",2018,""
574,"","","",1,"","","","",2025,""
613,"","","",1,"","","","",1933,""
544,"","","",1,"","","","",1833,""
577,"","","",1,"","","","",1933,""
581,"","","",1,"","","","",1932,""
272,"","","",10,"","","","",1659,""
442,"","","",1,"","","","",1844,""
470,"","","",1,"","","","",1684,""
647,"","","",1,"","","","",2024,""
282,"","","",1,"","","","",1602,""
700,"","","",1,"","","","",2032,""
155,"","","",1,"","","","",1932,""
886,"","","",1,"","","","",1995,""
132,"","","",1,"","","","",1978,""
154,"","","",1,"","","","",2035,""
428,1,1,1,1,"","","","",240,""
495,"","","",1,"","","","",1975,""
625,"","","",1,"","","","",2023,""
415,"","","",1,"","","","",1932,""
422,"","","",1,"","","","",2006,""
433,"","","",1,"","","","",1933,""
543,"","","",1,"","","","",1932,""
595,"","","","","","","",1,"",1975
961,"","","",1,"","","","",1933,""
29,"","","",1,"","","","",1684,""
419,"","","",1,"","","","",1932,""
703,1,1,1,1,"","","","",109,""
112,"","","",1,"","","","",2005,""
42,"","","",1,"","","","",2007,""
424,"","","",1,"","","","",1858,""
534,"","","",1,"","","","",1933,""
586,"","","",1,"","","","",1933,""
434,"","","",1,"","","","",1983,""
468,"","",1,1,"","","","",945,""
626,"","","",1,"","","","",1873,""
87,"","",1,1,"","","","",990,""
890,"","","",1,"","","","",2085,""
974,"","","",10,"","","","",1668,""
710,1,1,18,161,"","","",7,201,1848
3,"","","",6,"","","","",1897,""
446,"","",3,21,"","","","",1279,""
478,"","","",1,"","","","",2019,""
541,"","","",1,"","","","",1932,""
970,"","","",1,"","","","",1932,""
113,"","",1,1,"","","","",1354,""
30,"","","",1,"","","","",1684,""
432,"","",1,1,"","","","",977,""
584,"","","",1,"","","","",1898,""
34,"","","",1,"","","","",2007,""
443,"","","",1,"","","","",1817,""
652,"","","",1,"","","","",1933,""
880,"","","",1,"","","","",2015,""
924,"","","",29,"","","","",1473,""
133,"","","",1,"","","","",1978,""
878,"","","",1,"","","","",1954,""
287,"","","",1,"","","","",1962,""
365,"","","",1,"","","","",1933,""
425,"","","",1,"","","","",1995,""
895,"","","",1,"","","","",2015,""
966,"","","",1,"","","","",1828,""
146,"","","",1,"","","","",2017,""
379,"","","",1,"","","","",1515,""
160,"","","",3,"","","","",1672,""
695,"","","",1,"","","","",1922,""
894,"","","",1,"","","","",1933,""
258,"","","",6,"","","",2,1692,2025
479,"","",2,15,"","","","",1279,""
692,"","","",1,"","","","",1933,""
28,"","","",1,"","","","",1684,""
570,"","","",1,"","","","",1933,""
888,"","","",1,"","","","",1679,""
423,"","","",1,"","","","",1819,""
539,"","","",1,"","","","",1959,""
628,"","","",1,"","","","",1976,""
917,"","","",1,"","","","",2007,""
597,"","","",1,"","","","",1901,""
85,"","",1,1,"","","","",990,""
35,"","","",1,"","","","",2017,""
644,"","","",1,"","","","",2000,""
973,"","","",1,"","","","",1933,""
441,"","",1,1,"","","","",1048,""
964,"","","",1,"","","","",2009,""
298,"","","",1,"","","","",1679,""
528,"","","",1,"","","","",1619,""
959,"","","",1,"","","","",1932,""
223,"","","",1,"","","","",1848,""
47,"","",19,30,"","","","",990,""
594,"","","","","","","",1,"",1975
629,"","","",1,"","","","",1932,""
697,"","","",1,"","","","",1825,""
107,"","","",1,"","","","",1872,""
110,"","","",1,"","","","",2034,""
892,"","","","","","","",1,"",1717
527,"","","",1,"","","","",1933,""
656,"","","",1,"","","","",1932,""
267,"","","",1,"","","","",1933,""
573,"","","",1,"","","","",2025,""
609,"","","",1,"","","","",1959,""
953,"","","",1,"","","","",1931,""
284,"","","",1,"","","","",1933,""
440,"","","",1,"","","","",1834,""
610,"","","",1,"","","","",1948,""
300,"","","",1,"","","","",1991,""
43,"","","",1,"","","","",1933,""
503,"","","",1,"","","","",1933,""
897,"","","",1,"","","","",1641,""
421,"","","",1,"","","","",1932,""
31,"","","",1,"","","","",1684,""
912,"","","",1,"","","","",1933,""
476,"","","",1,"","","","",1932,""
617,"","","","","","","",1,"",2022
619,"","","",1,"","","","",1990,""
302,"","","",1,"","","","",1872,""
502,"","","",1,"","","","",1870,""
632,"","",1,9,"","","","",1054,""
921,"","","",1,"","","","",2009,""
224,"","","",1,"","","","",1861,""
364,"","","",1,"","","","",1603,""
505,"","","",1,"","","","",1944,""
27,"","","",1,"","","","",1932,""
477,"","","",1,"","","","",1869,""
496,"","","",1,"","","","",1932,""
649,"","","",1,"","","","",2014,""
658,"","",4,30,"","","","",979,""
997,"","","",1,"","","","",2029,""
999,"","","",1,"","","","",2031,""
596,"","","","","","","",1,"",1975
601,"","","",1,"","","","",1918,""
614,"","","",1,"","","","",1852,""
131,"","","",1,"","","","",1852,""
549,"","","",1,"","","","",1960,""
227,"","","",8,"","","","",1932,""
26,"","","",1,"","","","",1932,""
286,"","","",1,"","","","",1950,""
889,"","","",1,"","","","",1932,""
548,"","","",1,"","","","",1932,""
268,"","","",1,"","","","",2009,""
46,"","","",1,"","","","",1934,""
621,"","","",1,"","","","",2012,""
631,"","","",1,"","","","",1887,""
535,"","","",1,"","","","",1932,""
147,"","","",1,"","","","",2025,""
381,"","","",1,"","","","",1968,""
78,"","",1,1,"","","","",990,""
501,"","","",1,"","","","",2023,""
77,"","",1,1,"","","","",990,""
89,"","",1,1,"","","","",990,""
620,"","","",1,"","","","",2035,""
1000,"","","",1,"","","","",2031,""
118,"","","",13,"","","","",1846,""
257,"","","",1,"","","","",2011,""
653,"","","",1,"","","","",2022,""
256,"","","",1,"","","","",2034,""
537,"","","",1,"","","","",1423,""
967,"","","",1,"","","","",1490,""
604,"","","",1,"","","","",1960,""
104,"","",1,1,"","","","",990,""
413,"","","",1,"","","","",1833,""
657,"","","",1,"","","","",1984,""
702,"","","",1,"","","","",1933,""
90,"","",1,1,"","","","",990,""
418,"","","",1,"","","","",1840,""
429,"","","",1,"","","","",1701,""
578,"","","",1,"","","","",1668,""
41,"","","",1,"","","","",2007,""
439,"","","",1,"","","","",1933,""
474,"","","",1,"","","","",1932,""
238,"","","",1,"","","","",1933,""
111,"","","",1,"","","","",1852,""
645,"","","",1,"","","","",1932,""
694,"","","",1,"","","","",1912,""
885,"","","",1,"","","","",1679,""
436,"","","",1,"","","","",1933,""
709,"","","",1,"","","","",2022,""
901,"","","",10,"","","","",1844,""
962,"","","",1,"","","","",1933,""
507,"","",1,19,"","","","",1311,""
545,"","",1,1,"","","","",1355,""
606,"","","",1,"","","","",1960,""
891,"","","",1,"","","","",2018,""
412,"","","",1,"","","","",1619,""
93,"","",11,11,"","","","",990,""
38,"","",1,1,"","","","",1032,""
40,"","","",1,"","","","",1721,""
376,"","","",1,"","","","",1853,""
506,"","","",1,"","","","",1933,""
582,"","","",1,"","","","",1684,""
585,"","","",1,"","","","",1898,""
913,"","","",1,"","","","",2012,""
25,"","","",1,"","","","",1932,""
688,"","","",1,"","","","",1872,""
914,"","","",1,"","","","",1933,""
270,"","","",1,"","","","",1933,""
271,"","","",1,"","","","",1932,""
297,"","","",1,"","","","",1990,""
879,"","","",1,"","","","",1952,""
971,"","","",1,"","","","",1933,""
156,"","","",1,"","","","",1932,""
288,"","","",9,"","","","",1684,""
303,"","","",1,"","","","",1932,""
44,"","","",1,"","","","",1933,""
957,"","","",1,"","","","",1933,""
963,"","","",1,"","","","",2009,""
985,"","",1,8,"","","",3,1127,1769
115,"","",1,1,"","","","",1355,""
241,"","","","","","","",1,"",2019
82,"","",1,1,"","","","",990,""
283,"","","",1,"","","","",1668,""
998,"","","",1,"","","","",2031,""
650,"","","",1,"","","","",2001,""
965,"","","",1,"","","","",1933,""
285,"","","","","","","",1,"",2017
471,"","","",1,"","","","",1684,""
92,"","",1,1,"","","","",990,""
380,"","","",1,"","","","",2010,""
615,"","","",1,"","","","",2036,""
108,"","","",1,"","","","",1932,""
117,"","","",1,"","","","",2019,""
414,"","","",1,"","","","",2029,""
576,"","","",1,"","","","",1834,""
612,"","","",1,"","","","",1904,""
968,"","","",1,"","","","",2009,""
605,"","","",1,"","","","",1960,""
627,"","","",1,"","","","",2009,""
86,"","",1,1,"","","","",990,""
416,"","","",1,"","","","",1933,""
437,"","","",1,"","","","",1932,""
616,"","","",1,"","","","",2036,""
363,"","","",1,"","","","",1584,""
81,"","",1,1,"","","","",990,""
896,"","","",1,"","","","",1933,""
114,"","",1,1,"","","","",1355,""
242,"","",3,11,"","","","",1375,""
33,"","","",1,"","","","",1933,""
366,"","","",1,"","","","",1491,""
430,"","","",1,"","","","",1987,""
540,"","","",1,"","","","",1932,""
622,"","","",1,"","","","",2020,""
708,"","","",1,"","","","",1869,""
916,"","","",1,"","","","",2007,""
213,"","",2,10,"","","","",1185,""
536,"","","",1,"","","","",1950,""
592,"","","","","","","",1,"",1975
958,"","","",1,"","","","",1933,""
150,"","","",1,"","","","",1951,""
269,"","","",1,"","","","",1932,""
526,"","","",1,"","","","",2026,""
623,"","","",1,"","","","",2020,""
382,"","",1,30,"","","","",983,""
593,"","","","","","","",1,"",1975
654,"","","",1,"","","","",2022,""
153,"","","",1,"","","","",1512,""
500,"","","",1,"","","","",1907,""
148,"","","",1,"","","","",1932,""
240,"","","","","","","",1,"",2019
643,"","","",1,"","","","",1915,""
159,"","","",1,"","","","",2023,""
239,"","","",1,"","","","",1933,""
377,"","","",1,"","","","",1853,""
304,"","","",1,"","","","",2020,""
427,"","","",1,"","","","",1932,""
589,"","","",1,"","","","",2031,""
642,"","","",1,"","","","",2020,""
106,"","",1,1,"","","","",990,""
158,"","","",1,"","","","",1933,""
236,"","","",1,"","","","",1932,""
547,"","","",1,"","","","",1672,""
84,"","",1,1,"","","","",990,""
266,"","","",1,"","","","",1932,""
497,"","","",1,"","","","",1672,""
922,"","","",1,"","","","",1933,""
648,"","","",1,"","","","",1933,""
494,"","","",1,"","","","",2007,""
79,"","",1,1,"","","","",990,""
893,"","","",1,"","","","",1933,""
444,"","",1,1,"","","","",1281,""
701,"","","",1,"","","","",2007,""
9,"","",1,16,"","","","",1308,""
212,"","","",1,"","","","",1679,""
116,"","","",1,"","","","",1933,""
32,"","","",1,"","","","",1994,""
624,"","","",1,"","","","",2023,""
152,"","","",1,"","","","",1933,""
299,"","","",1,"","","","",1679,""
314,"","","",1,"","","","",1932,""
134,"","",1,12,"","","","",1190,""
538,"","","",1,"","","","",1932,""
88,"","",1,1,"","","","",990,""
1,"","","",1,"","","","",2010,""
149,"","","",1,"","","","",1648,""
899,"","","",1,"","","","",1978,""
105,"","",1,1,"","","","",990,""
237,"","","",1,"","","","",1932,""
550,"","","",1,"","","","",1932,""
646,"","","",1,"","","","",1933,""
600,"","","",1,"","","","",1927,""
305,"","","",1,"","","","",2011,""
551,"","","",1,"","","","",2018,""
472,"","","",1,"","","","",2031,""
960,"","","",1,"","","","",1846,""
571,"","","","","","","",1,"",1730
588,"","","",1,"","","","",2031,""
599,"","","",1,"","","","",1997,""
211,"","","",1,"","","","",1679,""
36,"","","",1,"","","","",1932,""
420,"","","",1,"","","","",1933,""
37,"","","",1,"","","","",1833,""
546,"","",1,1,"","","","",1355,""
603,"","","",1,"","","","",1966,""
552,"","",1,17,"","","","",1385,""
705,"","","",1,"","","","",2085,""
955,"","","",1,"","","","",1977,""
431,"","","",1,"","","","",1932,""
255,"","","",1,"","","","",1863,""
698,"","","",1,"","","","",1810,""
253,"","","",1,"","","","",1933,""
362,"","","",1,"","","","",1932,""
969,"","","",1,"","","","",1933,""
575,"","","",1,"","","","",1473,""
911,"","","",1,"","","","",1932,""
306,"","",2,8,"","","","",988,""
607,"","","",1,"","","","",1861,""
225,"","","",1,"","","","",1933,""
235,"","","",1,"","","","",1867,""
498,"","","",1,"","","","",1933,""
580,"","","",1,"","","","",2036,""
641,"","","",1,"","","","",1933,""
39,"","","",1,"","","","",1932,""
426,"","","",1,"","","","",1933,""
689,"","","",1,"","","","",1852,""
882,"","","",1,"","","","",2011,""
704,"","","",1,"","","","",1932,""
883,"","","",1,"","","","",2024,""
473,"","","",1,"","","","",1875,""
618,"","","",1,"","","","",1933,""
630,"","","",1,"","","","",1932,""
417,"","","",1,"","","","",1806,""
696,"","","",1,"","","","",1819,""
83,"","",1,1,"","","","",990,""
887,"","","",1,"","","","",1679,""
915,"","","",1,"","","","",1672,""
109,"","","",1,"","","","",2034,""
900,"","","",1,"","","","",1852,""
954,"","","",1,"","","","",2023,""
587,"","","",1,"","","","",2031,""
690,"","","",1,"","","","",1932,""
445,"","","",1,"","","","",1932,""
602,"","","",1,"","","","",2012,""
706,"","","",1,"","","","",1932,""
996,"","","",1,"","","","",1679,""
157,"","","",1,"","","","",1816,""
651,"","","",1,"","","","",1932,""
91,"","",1,1,"","","","",990,""
469,"","","",1,"","","","",1861,""
583,"","","",1,"","","","",1684,""
884,"","","",1,"","","","",1679,""
923,"","","",1,"","","","",1735,""
151,"","","",1,"","","","",1956,""
355,"","","",6,"","","",1,1844,2001
367,"","","",1,"","","","",1932,""
598,"","","",1,"","","","",2012,""
499,"","","",1,"","","","",1932,""
984,"","","",1,"","","","",2018,""
368,"","","",8,"","","","",1484,""
579,"","","",1,"","","","",2036,""
378,"","","",1,"","","","",1886,""
529,"","","",5,"","","","",1932,""
608,"","","",1,"","","","",1932,""
2,"","","",1,"","","","",2030,""
254,"","","",1,"","","","",1932,""
435,"","","",1,"","","","",1933,""
590,"","","",1,"","","","",1861,""
655,"","","",1,"","","","",2012,""
956,"","","",1,"","","","",1932,""
972,"","","",1,"","","","",1933,""
226,"","","",1,"","","","",1899,""
504,"","","",1,"","","","",1933,""
569,"","","",1,"","","","",1784,""
693,"","","",1,"","","","",1882,""
80,"","",1,1,"","","","",990,""
301,"","","",1,"","","","",1872,""
611,"","","",1,"","","","",2008,""
707,"","","",1,"","","","",1933,""
920,"","","",1,"","","","",1684,""
45,"","","",1,"","","","",1933,""
542,"","","",1,"","","","",1932,""
572,"","","",1,"","","","",2035,""
881,"","","",1,"","","","",2027,""
918,"","","",1,"","","","",1920,""
898,"","","",1,"","","","",1978,""
438,"","","",1,"","","","",1820,""
699,"","","",1,"","","","",1935,""
