USER_ID,pageview_news_dur,pageview_movies_dur,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920
148,1262,"","","","",1,"","","",""
471,1014,"","","","",1,"","","",""
496,1262,"","","","",1,"","","",""
540,1262,"","","","",1,"","","",""
623,1350,"","","","",1,"","","",""
897,971,"","","","",1,"","","",""
31,1014,"","","","",1,"","","",""
85,320,"","","",1,1,"","","",""
580,1366,"","","","",1,"","","",""
879,1282,"","","","",1,"","","",""
883,1354,"","","","",1,"","","",""
255,1193,"","","","",1,"","","",""
588,1361,"","","","",1,"","","",""
898,1308,"","","","",1,"","","",""
970,1262,"","","","",1,"","","",""
133,1308,"","","","",1,"","","",""
472,1361,"","","","",1,"","","",""
78,320,"","","",1,1,"","","",""
918,1250,"","","","",1,"","","",""
362,1262,"","","","",1,"","","",""
613,1263,"","","","",1,"","","",""
961,1263,"","","","",1,"","","",""
974,1014,"","","","",10,"","","",""
593,"",1305,"","","","","","","",1
597,1231,"","","","",1,"","","",""
108,1262,"","","","",1,"","","",""
155,1262,"","","","",1,"","","",""
34,1337,"","","","",1,"","","",""
211,1009,"","","","",1,"","","",""
368,1320,"","","","",8,"","","",""
642,1350,"","","","",1,"","","",""
115,685,"","","",1,1,"","","",""
81,320,"","","",1,1,"","","",""
28,1014,"","","","",1,"","","",""
436,1263,"","","","",1,"","","",""
497,1002,"","","","",1,"","","",""
596,"",1305,"","","","","","","",1
300,1321,"","","","",1,"","","",""
412,949,"","","","",1,"","","",""
587,1361,"","","","",1,"","","",""
688,1202,"","","","",1,"","","",""
914,1263,"","","","",1,"","","",""
26,1262,"","","","",1,"","","",""
27,1262,"","","","",1,"","","",""
501,1353,"","","","",1,"","","",""
577,1263,"","","","",1,"","","",""
626,1203,"","","","",1,"","","",""
44,1263,"","","","",1,"","","",""
159,1353,"","","","",1,"","","",""
271,1262,"","","","",1,"","","",""
606,1290,"","","","",1,"","","",""
916,1337,"","","","",1,"","","",""
253,1263,"","","","",1,"","","",""
236,1262,"","","","",1,"","","",""
973,1263,"","","","",1,"","","",""
984,1348,"","","","",1,"","","",""
223,1178,"","","","",1,"","","",""
